event_id,creator_id,title,description,location,event_date,max_attendees,interest_id
1,117,Digital Summit World,A gathering of design enthusiasts and professionals showcasing the latest innovations and trends.,Yancheng,2018-08-19,294,6
2,136,LuxuryLiving Longfengba,A gathering of adventure enthusiasts and professionals showcasing the latest innovations and trends.,Longfengba,2021-11-21,186,20
3,117,FoodFest International,Connect with industry leaders and discover breakthrough developments in food.,Satrejan,2021-01-18,176,11
4,84,ComicCon 2018,Join the world's leading entertainment experts for an unforgettable event.,Cumadcad,2018-04-14,274,7
5,18,CyberCon Kępno,Connect with industry leaders and discover breakthrough developments in technology.,Kępno,2018-08-21,253,1
6,187,LeagueFinals 2023,Discover the latest trends and innovations in fitness at this premier event.,Kalamáta,2023-07-02,261,19
7,113,Gumuk Tengah MentalHealthCon,Join the world's leading politics experts for an unforgettable event.,Gumuk Tengah,2019-11-19,229,12
8,140,NutritionCon 2021,Experience the future of health through interactive sessions and networking opportunities.,Berlin,2021-07-14,87,3
9,71,StartupSummit,Connect with industry leaders and discover breakthrough developments in business.,Ambam,2022-05-11,288,10
10,197,LuxuryLiving International,A gathering of education enthusiasts and professionals showcasing the latest innovations and trends.,Kuala Pilah,2024-03-02,282,4
11,2,TasteFair 2021,A gathering of food enthusiasts and professionals showcasing the latest innovations and trends.,Butuan,2021-03-22,218,11
12,19,TasteFair World,A gathering of fashion enthusiasts and professionals showcasing the latest innovations and trends.,Synya,2024-07-06,237,15
13,198,MediaExpo International,Discover the latest trends and innovations in automotive at this premier event.,Miao’ertan,2022-01-06,57,16
14,75,International MarathonEvent,Discover the latest trends and innovations in sports at this premier event.,Borås,2023-08-31,90,8
15,75,CreativeCon World,Experience the future of career through interactive sessions and networking opportunities.,Guanmian,2020-07-27,108,13
16,164,International TasteFair,Join the world's leading food experts for an unforgettable event.,Kalangsari,2022-02-17,224,11
17,90,FinanceCon,Connect with industry leaders and discover breakthrough developments in education.,Bajo,2021-06-15,258,4
18,59,Research Symposium Yabrūd,A gathering of travel enthusiasts and professionals showcasing the latest innovations and trends.,Yabrūd,2020-02-23,198,9
19,176,ShowcaseLive La Unión,Discover the latest trends and innovations in entertainment at this premier event.,La Unión,2022-08-21,135,7
20,127,Masarayao StartupWeek,Discover the latest trends and innovations in technology at this premier event.,Masarayao,2018-03-13,270,1
21,148,MediaExpo International,Connect with industry leaders and discover breakthrough developments in entertainment.,Chernomorets,2018-03-13,251,7
22,41,MusicFest World,Experience the future of politics through interactive sessions and networking opportunities.,Khotsimsk,2021-04-18,90,12
23,41,Yandian MentalHealthCon,Connect with industry leaders and discover breakthrough developments in diy.,Yandian,2022-04-07,230,14
24,42,Dogonbadan BlockchainCon,Connect with industry leaders and discover breakthrough developments in technology.,Dogonbadan,2024-12-24,60,1
25,149,MarathonEvent World,Connect with industry leaders and discover breakthrough developments in sports.,Konotop,2023-12-10,229,8
26,181,CloudExpo,Join the world's leading travel experts for an unforgettable event.,Hashimoto,2023-10-20,200,9
27,151,OlympicQualifiers International,Join the world's leading adventure experts for an unforgettable event.,Sunampe,2021-04-18,252,20
28,96,International EcoSummit,Join the world's leading education experts for an unforgettable event.,Juanshui,2019-01-14,212,4
